"E0",,,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
550,0.00475202,0.16632,35.1662,34.9999
551,0.00477947,0.167281,35.1672,34.9999
552,0.00477325,0.167063,35.167,34.9999
553,0.00476825,0.166888,35.1668,34.9999
554,0.00478244,0.167385,35.1673,34.9999
555,0.00477405,0.167092,35.167,34.9999
556,0.00478046,0.167316,35.1672,34.9999
557,0.00477158,0.167005,35.1669,34.9999
558,0.004758,0.16653,35.1665,34.9999
559,0.00475908,0.166567,35.1665,34.9999
560,0.00475482,0.166418,35.1663,34.9999
561,0.0047523,0.16633,35.1663,34.9999
562,0.00474967,0.166238,35.1662,34.9999
563,0.00476583,0.166804,35.1667,34.9999
564,0.00475125,0.166293,35.1662,34.9999
565,0.00473968,0.165889,35.1658,34.9999
566,0.00474864,0.166202,35.1661,34.9999
567,0.00475208,0.166322,35.1663,34.9999
568,0.00477575,0.167151,35.1671,34.9999
569,0.00477514,0.16713,35.1671,34.9999
570,0.00476493,0.166772,35.1667,34.9999
571,0.00475876,0.166556,35.1665,34.9999
572,0.004756,0.16646,35.1664,34.9999
573,0.00476616,0.166815,35.1667,34.9999
574,0.00480333,0.168116,35.168,34.9999
575,0.00477903,0.167266,35.1672,34.9999
576,0.00473802,0.16583,35.1658,34.9999
577,0.00477719,0.167201,35.1671,34.9999
578,0.00479067,0.167673,35.1676,34.9999
579,0.00483962,0.169386,35.1693,34.9999
580,0.00478393,0.167437,35.1674,34.9999
581,0.00478485,0.167469,35.1674,34.9999
582,0.00476192,0.166667,35.1666,34.9999
583,0.00478229,0.16738,35.1673,34.9999
584,0.00477316,0.16706,35.167,34.9999
585,0.00477977,0.167292,35.1672,34.9999
586,0.00477812,0.167234,35.1672,34.9999
587,0.00477443,0.167105,35.167,34.9999
588,0.0047796,0.167286,35.1672,34.9999
589,0.00476779,0.166872,35.1668,34.9999
590,0.00479524,0.167833,35.1678,34.9999
591,0.00476431,0.16675,35.1667,34.9999
592,0.00478407,0.167442,35.1674,34.9999
593,0.00476532,0.166786,35.1667,34.9999
594,0.00476932,0.166926,35.1669,34.9999
